,program,test,correct,time,err_info,program_len,result
0,"('6',)",uncertainty4.in,,0.13595914840698242,,130.0,+
1,"('6',)",uncertainty8.in,,0.059941768646240234,,130.0,+
2,"('6',)",uncertainty5.in,,0.03817605972290039,,130.0,+
3,"('6',)",test_simple_1.in,,0.0375063419342041,,130.0,+
4,"('6',)",uncertainty6.in,,0.039226531982421875,,130.0,+
5,"('6',)",new_uncertainty2.in,,0.03849673271179199,,130.0,+
6,"('6',)",test.in,,0.041077375411987305,,130.0,+
7,"('6',)",new_uncertainty6.in,,0.046532392501831055,,130.0,+
8,"('6',)",new_uncertainty7.in,,0.03902721405029297,,130.0,+
9,"('6',)",new_uncertainty1.in,,0.038103342056274414,,130.0,+
10,"('6',)",new_test_hard.in,,0.04204916954040527,,130.0,+
11,"('6',)",uncertainty7.in,,0.03905320167541504,,130.0,+
12,"('6',)",new_uncertainty5.in,,0.03992342948913574,,130.0,+
13,"('6',)",new_uncertainty3.in,,0.03762221336364746,,130.0,+
14,"('6',)",test_simple_2.in,,0.03914332389831543,,130.0,+
15,"('6',)",uncertainty3.in,,0.038860321044921875,,130.0,+
16,"('6',)",new_test_simple_2.in,,0.038086891174316406,,130.0,+
17,"('6',)",new_test_simple_1.in,,0.03735232353210449,,130.0,+
18,"('6',)",new_uncertainty8.in,,0.04441714286804199,,130.0,+
19,"('6',)",uncertainty1.in,,0.037743330001831055,,130.0,+
20,"('6',)",new_uncertainty4.in,,0.041670799255371094,,130.0,+
21,"('6',)",uncertainty2.in,,0.03901195526123047,,130.0,+
